nohup: 忽略输入
[train] device = cuda
[bigvul] split=train  loaded=150908  vuln=8736  benign=142172  skipped=0
[bigvul] split=val    loaded= 18864  vuln=1109  benign=17755  skipped=0
Loading weights:   0%|          | 0/199 [00:00<?, ?it/s]Loading weights: 100%|██████████| 199/199 [00:00<00:00, 19333.07it/s]
[train] ep=0 step=   0  L_total=1.0382  L_ce=0.6648  L_trust=0.7467 (iou=0.000 syn=0.636 pdg=0.857)
[train] ep=0 step=  50  L_total=0.3647  L_ce=0.0097  L_trust=0.7099 (iou=0.000 syn=0.605 pdg=0.814)
[train] ep=0 step= 100  L_total=1.8040  L_ce=0.9824  L_trust=1.6434 (iou=0.914 syn=0.612 pdg=0.847)
[train] ep=0 step= 150  L_total=0.3860  L_ce=0.0059  L_trust=0.7602 (iou=0.000 syn=0.603 pdg=0.917)
[train] ep=0 step= 200  L_total=0.3297  L_ce=0.0229  L_trust=0.6137 (iou=0.000 syn=0.602 pdg=0.626)
[train] ep=0 step= 250  L_total=1.3114  L_ce=0.4112  L_trust=1.8004 (iou=1.000 syn=0.601 pdg=1.000)
[train] ep=0 step= 300  L_total=0.3559  L_ce=0.0062  L_trust=0.6994 (iou=0.000 syn=0.609 pdg=0.790)
[train] ep=0 step= 350  L_total=0.3609  L_ce=0.0060  L_trust=0.7098 (iou=0.000 syn=0.601 pdg=0.818)
[train] ep=0 step= 400  L_total=0.3459  L_ce=0.0083  L_trust=0.6751 (iou=0.000 syn=0.600 pdg=0.750)
[train] ep=0 step= 450  L_total=0.3428  L_ce=0.0135  L_trust=0.6586 (iou=0.000 syn=0.620 pdg=0.697)
[train] ep=0 step= 500  L_total=0.2686  L_ce=0.0127  L_trust=0.5118 (iou=0.000 syn=0.518 pdg=0.506)
[train] ep=0 step= 550  L_total=0.3520  L_ce=0.0050  L_trust=0.6939 (iou=0.000 syn=0.600 pdg=0.788)
[train] ep=0 step= 600  L_total=0.6851  L_ce=0.0158  L_trust=1.3387 (iou=0.783 syn=0.531 pdg=0.579)
[train] ep=0 step= 650  L_total=0.3724  L_ce=0.0036  L_trust=0.7375 (iou=0.000 syn=0.600 pdg=0.875)
[train] ep=0 step= 700  L_total=0.3632  L_ce=0.0072  L_trust=0.7120 (iou=0.000 syn=0.603 pdg=0.821)
[train] ep=0 step= 750  L_total=0.3551  L_ce=0.0035  L_trust=0.7032 (iou=0.000 syn=0.531 pdg=0.875)
[train] ep=0 step= 800  L_total=0.9633  L_ce=0.6226  L_trust=0.6814 (iou=0.000 syn=0.600 pdg=0.763)
[train] ep=0 step= 850  L_total=0.3142  L_ce=0.0048  L_trust=0.6188 (iou=0.000 syn=0.600 pdg=0.637)
[train] ep=0 step= 900  L_total=0.3455  L_ce=0.0227  L_trust=0.6457 (iou=0.000 syn=0.540 pdg=0.751)
[train] ep=0 step= 950  L_total=0.3111  L_ce=0.0049  L_trust=0.6125 (iou=0.000 syn=0.600 pdg=0.625)
[train] ep=0 step=1000  L_total=0.4219  L_ce=0.0228  L_trust=0.7982 (iou=0.000 syn=0.600 pdg=0.996)
[train] ep=0 step=1050  L_total=1.4363  L_ce=0.5673  L_trust=1.7380 (iou=1.000 syn=0.601 pdg=0.875)
[train] ep=0 step=1100  L_total=0.3454  L_ce=0.0076  L_trust=0.6756 (iou=0.000 syn=0.601 pdg=0.750)
[train] ep=0 step=1150  L_total=0.3758  L_ce=0.0039  L_trust=0.7437 (iou=0.000 syn=0.600 pdg=0.887)
[train] ep=0 step=1200  L_total=0.7394  L_ce=0.3392  L_trust=0.8004 (iou=0.000 syn=0.601 pdg=1.000)
[train] ep=0 step=1250  L_total=0.4271  L_ce=0.0272  L_trust=0.7999 (iou=0.000 syn=0.600 pdg=1.000)
[train] ep=0 step=1300  L_total=0.4515  L_ce=0.0544  L_trust=0.7943 (iou=0.000 syn=0.603 pdg=0.986)
[train] ep=0 step=1350  L_total=0.8703  L_ce=0.4706  L_trust=0.7994 (iou=0.000 syn=0.606 pdg=0.993)
[train] ep=0 step=1400  L_total=0.3411  L_ce=0.0036  L_trust=0.6750 (iou=0.000 syn=0.600 pdg=0.750)
[train] ep=0 step=1450  L_total=0.3902  L_ce=0.0061  L_trust=0.7682 (iou=0.000 syn=0.599 pdg=0.937)
[train] ep=0 step=1500  L_total=0.3444  L_ce=0.0069  L_trust=0.6750 (iou=0.000 syn=0.600 pdg=0.750)
