nohup: 忽略输入
[train] device = cuda
[bigvul] split=train  loaded=150908  vuln=8736  benign=142172  skipped=0
[bigvul] split=val    loaded= 18864  vuln=1109  benign=17755  skipped=0
Loading weights:   0%|          | 0/199 [00:00<?, ?it/s]Loading weights: 100%|██████████| 199/199 [00:00<00:00, 30654.71it/s]
[train] ep=0 step=   0  L_total=4.3984  L_ce=0.6648  L_trust=0.7467 (iou=0.000 syn=0.636 pdg=0.857)
[train] ep=0 step=  50  L_total=3.5385  L_ce=0.0096  L_trust=0.7058 (iou=0.000 syn=0.603 pdg=0.809)
[train] ep=0 step= 100  L_total=9.1828  L_ce=1.0798  L_trust=1.6206 (iou=0.931 syn=0.594 pdg=0.785)
[train] ep=0 step= 150  L_total=3.8885  L_ce=0.0057  L_trust=0.7766 (iou=0.000 syn=0.600 pdg=0.953)
[train] ep=0 step= 200  L_total=3.0902  L_ce=0.0274  L_trust=0.6126 (iou=0.000 syn=0.600 pdg=0.625)
[train] ep=0 step= 250  L_total=9.4387  L_ce=0.4367  L_trust=1.8004 (iou=1.000 syn=0.601 pdg=1.000)
[train] ep=0 step= 300  L_total=3.3975  L_ce=0.0209  L_trust=0.6753 (iou=0.000 syn=0.600 pdg=0.751)
[train] ep=0 step= 350  L_total=3.3912  L_ce=0.0138  L_trust=0.6755 (iou=0.000 syn=0.600 pdg=0.751)
[train] ep=0 step= 400  L_total=3.4192  L_ce=0.0446  L_trust=0.6749 (iou=0.000 syn=0.600 pdg=0.750)
[train] ep=0 step= 450  L_total=0.0164  L_ce=0.0164  L_trust=0.0000 (iou=0.000 syn=0.000 pdg=0.000)
[train] ep=0 step= 500  L_total=0.0358  L_ce=0.0358  L_trust=0.0000 (iou=0.000 syn=0.000 pdg=0.000)
[train] ep=0 step= 550  L_total=0.0062  L_ce=0.0062  L_trust=0.0000 (iou=0.000 syn=0.000 pdg=0.000)
[train] ep=0 step= 600  L_total=5.3178  L_ce=0.1306  L_trust=1.0374 (iou=1.000 syn=0.075 pdg=0.000)
[train] ep=0 step= 650  L_total=0.0032  L_ce=0.0032  L_trust=0.0000 (iou=0.000 syn=0.000 pdg=0.000)
[train] ep=0 step= 700  L_total=0.0045  L_ce=0.0045  L_trust=0.0000 (iou=0.000 syn=0.000 pdg=0.000)
[train] ep=0 step= 750  L_total=0.0039  L_ce=0.0039  L_trust=0.0000 (iou=0.000 syn=0.000 pdg=0.000)
[train] ep=0 step= 800  L_total=0.6211  L_ce=0.6211  L_trust=0.0000 (iou=0.000 syn=0.000 pdg=0.000)
[train] ep=0 step= 850  L_total=0.0044  L_ce=0.0044  L_trust=0.0000 (iou=0.000 syn=0.000 pdg=0.000)
[train] ep=0 step= 900  L_total=0.0158  L_ce=0.0158  L_trust=0.0000 (iou=0.000 syn=0.000 pdg=0.000)
[train] ep=0 step= 950  L_total=0.0041  L_ce=0.0041  L_trust=0.0000 (iou=0.000 syn=0.000 pdg=0.000)
[train] ep=0 step=1000  L_total=0.0408  L_ce=0.0408  L_trust=0.0000 (iou=0.000 syn=0.000 pdg=0.000)
[train] ep=0 step=1050  L_total=5.5341  L_ce=0.5341  L_trust=1.0000 (iou=1.000 syn=0.000 pdg=0.000)
[train] ep=0 step=1100  L_total=0.0063  L_ce=0.0063  L_trust=0.0000 (iou=0.000 syn=0.000 pdg=0.000)
[train] ep=0 step=1150  L_total=0.0036  L_ce=0.0036  L_trust=0.0000 (iou=0.000 syn=0.000 pdg=0.000)
[train] ep=0 step=1200  L_total=0.3861  L_ce=0.3861  L_trust=0.0000 (iou=0.000 syn=0.000 pdg=0.000)
[train] ep=0 step=1250  L_total=0.0195  L_ce=0.0195  L_trust=0.0000 (iou=0.000 syn=0.000 pdg=0.000)
[train] ep=0 step=1300  L_total=0.0131  L_ce=0.0131  L_trust=0.0000 (iou=0.000 syn=0.000 pdg=0.000)
[train] ep=0 step=1350  L_total=0.5328  L_ce=0.5328  L_trust=0.0000 (iou=0.000 syn=0.000 pdg=0.000)
[train] ep=0 step=1400  L_total=0.0056  L_ce=0.0056  L_trust=0.0000 (iou=0.000 syn=0.000 pdg=0.000)
[train] ep=0 step=1450  L_total=0.0062  L_ce=0.0062  L_trust=0.0000 (iou=0.000 syn=0.000 pdg=0.000)
[train] ep=0 step=1500  L_total=0.0057  L_ce=0.0057  L_trust=0.0000 (iou=0.000 syn=0.000 pdg=0.000)
[train] ep=0 step=1550  L_total=5.0102  L_ce=0.0102  L_trust=1.0000 (iou=1.000 syn=0.000 pdg=0.000)
[train] ep=0 step=1600  L_total=0.0077  L_ce=0.0077  L_trust=0.0000 (iou=0.000 syn=0.000 pdg=0.000)
[train] ep=0 step=1650  L_total=5.4644  L_ce=0.0062  L_trust=1.0916 (iou=0.995 syn=0.075 pdg=0.118)
[train] ep=0 step=1700  L_total=0.0149  L_ce=0.0149  L_trust=0.0000 (iou=0.000 syn=0.000 pdg=0.000)
[train] ep=0 step=1750  L_total=0.0038  L_ce=0.0037  L_trust=0.0000 (iou=0.000 syn=0.000 pdg=0.000)
[train] ep=0 step=1800  L_total=0.0029  L_ce=0.0029  L_trust=0.0000 (iou=0.000 syn=0.000 pdg=0.000)
[train] ep=0 step=1850  L_total=0.0036  L_ce=0.0036  L_trust=0.0000 (iou=0.000 syn=0.000 pdg=0.000)
[train] ep=0 step=1900  L_total=5.2019  L_ce=0.0850  L_trust=1.0234 (iou=0.986 syn=0.075 pdg=0.000)
[train] ep=0 step=1950  L_total=5.0175  L_ce=0.0059  L_trust=1.0023 (iou=1.000 syn=0.002 pdg=0.003)
[train] ep=0 step=2000  L_total=0.0142  L_ce=0.0142  L_trust=0.0000 (iou=0.000 syn=0.000 pdg=0.000)
[train] ep=0 step=2050  L_total=5.6180  L_ce=0.6180  L_trust=1.0000 (iou=1.000 syn=0.000 pdg=0.000)
[train] ep=0 step=2100  L_total=5.0095  L_ce=0.0095  L_trust=1.0000 (iou=1.000 syn=0.000 pdg=0.000)
[train] ep=0 step=2150  L_total=5.6671  L_ce=0.6671  L_trust=1.0000 (iou=1.000 syn=0.000 pdg=0.000)
[train] ep=0 step=2200  L_total=0.0048  L_ce=0.0048  L_trust=0.0000 (iou=0.000 syn=0.000 pdg=0.000)
[train] ep=0 step=2250  L_total=0.0047  L_ce=0.0047  L_trust=0.0000 (iou=0.000 syn=0.000 pdg=0.000)
[train] ep=0 step=2300  L_total=0.0136  L_ce=0.0136  L_trust=0.0000 (iou=0.000 syn=0.000 pdg=0.000)
[train] ep=0 step=2350  L_total=0.0047  L_ce=0.0047  L_trust=0.0000 (iou=0.000 syn=0.000 pdg=0.000)
[train] ep=0 step=2400  L_total=0.0082  L_ce=0.0082  L_trust=0.0000 (iou=0.000 syn=0.000 pdg=0.000)
[train] ep=0 step=2450  L_total=0.0099  L_ce=0.0099  L_trust=0.0000 (iou=0.000 syn=0.000 pdg=0.000)
[train] ep=0 step=2500  L_total=0.0068  L_ce=0.0068  L_trust=0.0000 (iou=0.000 syn=0.000 pdg=0.000)
[train] ep=0 step=2550  L_total=0.0107  L_ce=0.0107  L_trust=0.0000 (iou=0.000 syn=0.000 pdg=0.000)
[train] ep=0 step=2600  L_total=0.0088  L_ce=0.0088  L_trust=0.0000 (iou=0.000 syn=0.000 pdg=0.000)
[train] ep=0 step=2650  L_total=0.0044  L_ce=0.0044  L_trust=0.0000 (iou=0.000 syn=0.000 pdg=0.000)
[train] ep=0 step=2700  L_total=0.0059  L_ce=0.0059  L_trust=0.0000 (iou=0.000 syn=0.000 pdg=0.000)
[train] ep=0 step=2750  L_total=5.0109  L_ce=0.0109  L_trust=1.0000 (iou=1.000 syn=0.000 pdg=0.000)
[train] ep=0 step=2800  L_total=5.6150  L_ce=0.6150  L_trust=1.0000 (iou=1.000 syn=0.000 pdg=0.000)
[train] ep=0 step=2850  L_total=5.0149  L_ce=0.0149  L_trust=1.0000 (iou=1.000 syn=0.000 pdg=0.000)
[train] ep=0 step=2900  L_total=0.0065  L_ce=0.0065  L_trust=0.0000 (iou=0.000 syn=0.000 pdg=0.000)
[train] ep=0 step=2950  L_total=5.0061  L_ce=0.0061  L_trust=1.0000 (iou=1.000 syn=0.000 pdg=0.000)
[train] ep=0 step=3000  L_total=0.0080  L_ce=0.0080  L_trust=0.0000 (iou=0.000 syn=0.000 pdg=0.000)
[train] ep=0 step=3050  L_total=0.5735  L_ce=0.5735  L_trust=0.0000 (iou=0.000 syn=0.000 pdg=0.000)
[train] ep=0 step=3100  L_total=0.0027  L_ce=0.0027  L_trust=0.0000 (iou=0.000 syn=0.000 pdg=0.000)
[train] ep=0 step=3150  L_total=0.0068  L_ce=0.0068  L_trust=0.0000 (iou=0.000 syn=0.000 pdg=0.000)
[train] ep=0 step=3200  L_total=0.0137  L_ce=0.0137  L_trust=0.0000 (iou=0.000 syn=0.000 pdg=0.000)
[train] ep=0 step=3250  L_total=0.0135  L_ce=0.0135  L_trust=0.0000 (iou=0.000 syn=0.000 pdg=0.000)
[train] ep=0 step=3300  L_total=0.0060  L_ce=0.0060  L_trust=0.0000 (iou=0.000 syn=0.000 pdg=0.000)
[train] ep=0 step=3350  L_total=0.0055  L_ce=0.0055  L_trust=0.0000 (iou=0.000 syn=0.000 pdg=0.000)
[train] ep=0 step=3400  L_total=0.0042  L_ce=0.0042  L_trust=0.0000 (iou=0.000 syn=0.000 pdg=0.000)
[train] ep=0 step=3450  L_total=0.0099  L_ce=0.0099  L_trust=0.0000 (iou=0.000 syn=0.000 pdg=0.000)
[train] ep=0 step=3500  L_total=5.5628  L_ce=0.5628  L_trust=1.0000 (iou=1.000 syn=0.000 pdg=0.000)
[train] ep=0 step=3550  L_total=0.0078  L_ce=0.0078  L_trust=0.0000 (iou=0.000 syn=0.000 pdg=0.000)
[train] ep=0 step=3600  L_total=0.0086  L_ce=0.0086  L_trust=0.0000 (iou=0.000 syn=0.000 pdg=0.000)
[train] ep=0 step=3650  L_total=5.0112  L_ce=0.0112  L_trust=1.0000 (iou=1.000 syn=0.000 pdg=0.000)
[train] ep=0 step=3700  L_total=5.6289  L_ce=0.6289  L_trust=1.0000 (iou=1.000 syn=0.000 pdg=0.000)
