nohup: 忽略输入
[train] device = cuda
[bigvul] split=train  loaded=150908  vuln=8736  benign=142172  skipped=0
[bigvul] split=val    loaded= 18864  vuln=1109  benign=17755  skipped=0
Loading weights:   0%|          | 0/199 [00:00<?, ?it/s]Loading weights: 100%|██████████| 199/199 [00:00<00:00, 30376.92it/s]
[train] ep=0 step=   0  L_total=0.7395  L_ce=0.6648  L_trust=0.7467 (iou=0.000 syn=0.636 pdg=0.857)
[train] ep=0 step=  50  L_total=0.0815  L_ce=0.0102  L_trust=0.7131 (iou=0.000 syn=0.609 pdg=0.818)
[train] ep=0 step= 100  L_total=1.1441  L_ce=0.9761  L_trust=1.6799 (iou=0.931 syn=0.623 pdg=0.875)
[train] ep=0 step= 150  L_total=0.0818  L_ce=0.0066  L_trust=0.7515 (iou=0.000 syn=0.615 pdg=0.888)
[train] ep=0 step= 200  L_total=0.0899  L_ce=0.0270  L_trust=0.6293 (iou=0.000 syn=0.621 pdg=0.638)
[train] ep=0 step= 250  L_total=0.4944  L_ce=0.3140  L_trust=1.8041 (iou=1.000 syn=0.608 pdg=1.000)
[train] ep=0 step= 300  L_total=0.0748  L_ce=0.0041  L_trust=0.7064 (iou=0.000 syn=0.617 pdg=0.795)
[train] ep=0 step= 350  L_total=0.0831  L_ce=0.0066  L_trust=0.7645 (iou=0.000 syn=0.611 pdg=0.918)
[train] ep=0 step= 400  L_total=0.0757  L_ce=0.0081  L_trust=0.6759 (iou=0.000 syn=0.601 pdg=0.750)
[train] ep=0 step= 450  L_total=0.0776  L_ce=0.0107  L_trust=0.6690 (iou=0.000 syn=0.605 pdg=0.733)
[train] ep=0 step= 500  L_total=0.0716  L_ce=0.0106  L_trust=0.6100 (iou=0.000 syn=0.586 pdg=0.634)
[train] ep=0 step= 550  L_total=0.0790  L_ce=0.0074  L_trust=0.7156 (iou=0.000 syn=0.601 pdg=0.830)
[train] ep=0 step= 600  L_total=0.1597  L_ce=0.0129  L_trust=1.4681 (iou=0.884 syn=0.594 pdg=0.575)
[train] ep=0 step= 650  L_total=0.0795  L_ce=0.0043  L_trust=0.7519 (iou=0.000 syn=0.607 pdg=0.897)
[train] ep=0 step= 700  L_total=0.0793  L_ce=0.0080  L_trust=0.7128 (iou=0.000 syn=0.601 pdg=0.825)
[train] ep=0 step= 750  L_total=0.0761  L_ce=0.0049  L_trust=0.7119 (iou=0.000 syn=0.548 pdg=0.876)
[train] ep=0 step= 800  L_total=0.6931  L_ce=0.6191  L_trust=0.7399 (iou=0.000 syn=0.600 pdg=0.880)
[train] ep=0 step= 850  L_total=0.0709  L_ce=0.0047  L_trust=0.6621 (iou=0.000 syn=0.601 pdg=0.723)
[train] ep=0 step= 900  L_total=0.0802  L_ce=0.0151  L_trust=0.6514 (iou=0.000 syn=0.538 pdg=0.765)
[train] ep=0 step= 950  L_total=0.0681  L_ce=0.0039  L_trust=0.6425 (iou=0.000 syn=0.600 pdg=0.685)
[train] ep=0 step=1000  L_total=0.0859  L_ce=0.0084  L_trust=0.7749 (iou=0.000 syn=0.600 pdg=0.950)
[train] ep=0 step=1050  L_total=0.7430  L_ce=0.5690  L_trust=1.7396 (iou=1.000 syn=0.602 pdg=0.877)
[train] ep=0 step=1100  L_total=0.0731  L_ce=0.0051  L_trust=0.6800 (iou=0.000 syn=0.612 pdg=0.748)
[train] ep=0 step=1150  L_total=0.0800  L_ce=0.0040  L_trust=0.7597 (iou=0.000 syn=0.620 pdg=0.900)
[train] ep=0 step=1200  L_total=0.0856  L_ce=0.0054  L_trust=0.8015 (iou=0.000 syn=0.603 pdg=1.000)
[train] ep=0 step=1250  L_total=0.0927  L_ce=0.0159  L_trust=0.7678 (iou=0.000 syn=0.600 pdg=0.935)
[train] ep=0 step=1300  L_total=0.0859  L_ce=0.0098  L_trust=0.7608 (iou=0.000 syn=0.612 pdg=0.910)
[train] ep=0 step=1350  L_total=0.5814  L_ce=0.5059  L_trust=0.7555 (iou=0.000 syn=0.631 pdg=0.880)
[train] ep=0 step=1400  L_total=0.0722  L_ce=0.0046  L_trust=0.6761 (iou=0.000 syn=0.602 pdg=0.750)
[train] ep=0 step=1450  L_total=0.0790  L_ce=0.0049  L_trust=0.7410 (iou=0.000 syn=0.600 pdg=0.882)
[train] ep=0 step=1500  L_total=0.0728  L_ce=0.0044  L_trust=0.6846 (iou=0.000 syn=0.615 pdg=0.755)
[train] ep=0 step=1550  L_total=0.0827  L_ce=0.0087  L_trust=0.7403 (iou=0.003 syn=0.600 pdg=0.875)
[train] ep=0 step=1600  L_total=0.0829  L_ce=0.0091  L_trust=0.7375 (iou=0.000 syn=0.600 pdg=0.875)
[train] ep=0 step=1650  L_total=0.1583  L_ce=0.0040  L_trust=1.5422 (iou=0.799 syn=0.601 pdg=0.886)
[train] ep=0 step=1700  L_total=0.0625  L_ce=0.0109  L_trust=0.5159 (iou=0.000 syn=0.532 pdg=0.500)
[train] ep=0 step=1750  L_total=0.0769  L_ce=0.0032  L_trust=0.7375 (iou=0.000 syn=0.600 pdg=0.875)
